number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
10	0.0007797176640477582	2020-07-17 05:50:59.547217	2020-07-17 07:11:32.521592	0.22334659730423118	20.94149499606975	64	2	3	0.09631244704948116	128	0.6010785802252828	6.140974442380912e-05	0.0007797176640477582	0.00021772545750259597	0.00039078928269696713	2712.428259461753	0.0013292351949736275	6.140974442380912e-05	0.0007797176640477582	0.00021772545750259597	0.00039078928269696713	2712.377303330641	0.0013292849264329052		3288903351.0	150.0	6.140974442380912e-05	0.0007797176640477582	0.00021772545750259597	0.00039078928269696713	2712.4792155928644	0.0013291858319014645	10		COMPLETE
11	0.0034333629836947824	2020-07-17 07:11:32.522853	2020-07-17 08:30:46.081630	0.7880060124119744	11.785478566805503	64	1	5	0.07187533734398555	128	0.9059404414717973	0.0010365220498200509	0.0034333629836947824	0.0015315218079028758	0.0020972358171403903	4163.544741651066	0.00269142972475771	0.0010365220498200509	0.0034333629836947824	0.0015315218079028758	0.0020972358171403903	4163.538907725346	0.00269143612831694		942622021.0	150.0	0.0010365220498200509	0.0034333629836947824	0.0015315218079028758	0.0020972358171403903	4163.550575576786	0.0026914234614454123	11		COMPLETE
12	0.0014496421486711304	2020-07-17 08:30:46.082788	2020-07-17 09:50:51.768493	0.261552049409128	4.085631800300899	128	1	5	0.05472655772362798	128	1.0415854084603409	0.0008615973232795036	0.0014496421486711304	0.0010067476282812342	0.001155619735975317	4799.392573887088	0.0016839057676735396	0.0008615973232795036	0.0014496421486711304	0.0010067476282812342	0.001155619735975317	4799.380960001787	0.0016839096491838706		2815234832.0	150.0	0.0008615973232795036	0.0014496421486711304	0.0010067476282812342	0.001155619735975317	4799.404187772389	0.0016839019031848535	12		COMPLETE
13	0.005119339603330269	2020-07-17 09:50:51.769740	2020-07-17 10:49:13.927525	0.6261012432248801	9.038931169024128	64	1	6	0.007005798612587028	256	0.8671248637043218	0.0012765783234767593	0.005119339603330269	0.0021605064629103754	0.002984885759266358	3994.8302467183003	0.004044917779983006	0.0012765783234767593	0.005119339603330269	0.0021605064629103754	0.002984885759266358	3994.8290278279187	0.004044918633533249		3943977286.0	150.0	0.0012765783234767593	0.005119339603330269	0.0021605064629103754	0.002984885759266358	3994.8314656086823	0.004044916932603099	13		COMPLETE
14	0.005128644110061149	2020-07-17 10:49:13.928820	2020-07-17 11:32:42.643022	0.8149524449008527	4.6377535544294695	128	1	3	0.048864134978927616	512	0.7196156022778095	0.0008597364219333276	0.005128644110061149	0.0017678562788672322	0.0027299422748402417	3267.954874072806	0.003909043948129916	0.0008597364219333276	0.005128644110061149	0.0017678562788672322	0.0027299422748402417	3267.9431810991973	0.003909047729980566		2786724257.0	150.0	0.0008597364219333276	0.005128644110061149	0.0017678562788672322	0.0027299422748402417	3267.9665670464146	0.003909040183674126	14		COMPLETE
15	0.008266123779713943	2020-07-17 11:32:42.644274	2020-07-17 12:15:16.274939	0.4982977278292875	13.382114215540069	64	1	6	0.002915689925672887	512	0.8687581935451538	0.0016673676061737263	0.008266123779713943	0.003344039719078333	0.004741576630056534	4015.603757345908	0.005474000085350639	0.0016673676061737263	0.008266123779713943	0.003344039719078333	0.004741576630056534	4015.601701980371	0.005474002632711603		920029551.0	150.0	0.0016673676061737263	0.008266123779713943	0.003344039719078333	0.004741576630056534	4015.6058127114447	0.005473997565291614	15		COMPLETE
16	0.004976050199674714	2020-07-17 12:15:16.276198	2020-07-17 13:06:45.544698	0.20467611203971792	13.379899085244714	64	1	1	0.0286464658540137	256	0.8067757612744646	0.0009565032919344814	0.004976050199674714	0.001985581736369828	0.002865788073111092	3700.3689171787246	0.0036966984009341414	0.0009565032919344814	0.004976050199674714	0.001985581736369828	0.002865788073111092	3700.365373092111	0.003696700180744332		2456349142.0	150.0	0.0009565032919344814	0.004976050199674714	0.001985581736369828	0.002865788073111092	3700.3724612653386	0.0036966966321725506	16		COMPLETE
17	0.004572234607554515	2020-07-17 13:06:45.546032	2020-07-17 13:49:13.242946	0.764378694009002	29.635233692204483	64	1	9	0.02519352744627835	512	0.5429461672630626	0.0003684584665428547	0.004572234607554515	0.001103514498282388	0.0018739276555992661	2437.8958797783293	0.00406404026963205	0.0003684584665428547	0.004572234607554515	0.001103514498282388	0.0018739276555992661	2437.8927283419	0.00406411400981805		2406300916.0	150.0	0.0003684584665428547	0.004572234607554515	0.001103514498282388	0.0018739276555992661	2437.8990312147594	0.004063970251519216	17		COMPLETE
18	0.004611313535824212	2020-07-17 13:49:13.244278	2020-07-17 14:50:15.743988	0.28322838704852693	21.88185980069006	128	2	9	0.05759813511230357	256	0.9870031931417504	0.00044103361904372	0.004611313535824212	0.0013342662652082162	0.0022461079248344727	4569.200872204461	0.003314685289285055	0.0004652253365440085	0.004750881136787414	0.0014012587136705535	0.002367066512335915	4569.0879610848315	0.003357572949777725		735104347.0	150.0	0.00044103361904372	0.0045778173115930436	0.0013231008571311601	0.0022274989113727126	4569.313783324091	0.00328285636285308	18		COMPLETE
19	0.00429309940562811	2020-07-17 14:50:15.745519	2020-07-17 15:33:50.875678	0.8271770751342806	29.104670824859355	128	2	6	0.021082507664260473	512	0.988111034022724	0.00034240584769639024	0.00429309940562811	0.0012319166911685343	0.002136314745410087	4575.364149549476	0.0031884308810386066	0.0005173305742369374	0.004793681867749463	0.0015110518930949394	0.0025066341132991177	4575.110466825712	0.003394127597777449		229113105.0	150.0	0.00034240584769639024	0.004045599526586697	0.0011667851440523732	0.001991164440408356	4575.61783227324	0.003064981555833203	19		COMPLETE
20	0.004935110370058842	2020-07-17 15:33:50.877168	2020-07-17 16:32:13.963059	0.3452421375678707	29.00457708457348	64	1	7	0.010533339997767486	256	0.9326173488345375	0.0006438718657769077	0.004935110370058842	0.0016655067048275502	0.002592235575223215	4308.9392890240315	0.003538557593284722	0.0006438718657769077	0.004935110370058842	0.0016655067048275502	0.002592235575223215	4308.937514654598	0.003538560278461127		2468226673.0	150.0	0.0006438718657769077	0.004935110370058842	0.0016655067048275502	0.002592235575223215	4308.941063393465	0.0035385549425425104	20		COMPLETE
21	0.005219828276023775	2020-07-17 16:32:13.964340	2020-07-17 17:14:26.151357	0.1734127172004069	12.5585844087405	64	1	6	0.030916369149128965	512	0.7804557183001415	0.001207724973668246	0.005219828276023775	0.0020600177902168693	0.002971859449843126	3577.761548753754	0.004082037174239794	0.001207724973668246	0.005219828276023775	0.0020600177902168693	0.002971859449843126	3577.7580623550825	0.004082039417647824		3272423863.0	150.0	0.001207724973668246	0.005219828276023775	0.0020600177902168693	0.002971859449843126	3577.765035152426	0.004082034954302374	21		COMPLETE
22	0.00451826846851541	2020-07-17 17:14:26.152722	2020-07-17 18:47:26.994142	0.6982033526277354	24.37019813107576	64	2	7	0.04919046286437741	128	0.8915190215180958	0.00045592082981312827	0.00451826846851541	0.0013714842921317368	0.0022907695571426977	4109.927693747743	0.0033781577359529567	0.0005061651661598813	0.0046931931950559575	0.0014943037809793552	0.0024005627365670835	4109.823575386975	0.003440380179939152		1747166753.0	150.0	0.00045592082981312827	0.004466163230822481	0.0013621797854008568	0.002272160543680937	4110.031812108513	0.0033344827141833016	22		COMPLETE
23	0.005309151540640224	2020-07-17 18:47:26.995583	2020-07-17 19:29:36.797156	0.8538784736702763	10.3856690708922	64	1	7	0.07164124604315704	512	0.8038896525792871	0.0013435707719390965	0.005309151540640224	0.0022386643194497687	0.0031114270508063287	3688.0473450520494	0.004120969237522144	0.0013435707719390965	0.005309151540640224	0.0022386643194497687	0.0031114270508063287	3688.040870976266	0.004120973326642571		734515147.0	150.0	0.0013435707719390965	0.005309151540640224	0.0022386643194497687	0.0031114270508063287	3688.053819127833	0.004120965206260495	23		COMPLETE
24	0.004495937652361298	2020-07-17 19:29:36.798612	2020-07-17 20:12:08.174952	0.26637892491309645	9.669368384949069	128	2	4	0.012351341412944014	512	0.9760576264771068	0.00045219902712077624	0.004495937652361298	0.0013882324042473213	0.0023410138934894507	4517.826205771027	0.003305874602862814	0.0004819734486595928	0.004561069199477459	0.0014198677271323138	0.002380092821759147	4517.759338933406	0.003330638638419649		1489599249.0	150.0	0.00045219902712077624	0.004481050441591889	0.0013882324042473213	0.0023391529921432744	4517.893072608649	0.0032883592353998943	24		COMPLETE
