number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
10	0.00270058789721147	2020-07-16 23:34:36.577910	2020-07-17 00:03:51.929478	0.9757203591768719	25.836275158124646	64	2	4	0.09181981287206108	256	0.9419627991523598	0.0002527473288415863	0.00270058789721147	0.0007236190647656374	0.0011217826649955337	4441.829225900716	0.0024735399080175495	0.0002562096210174984	0.002704050189387382	0.0007270813569415495	0.0011217826649955337	4441.788727469134	0.002475907245727717	545997434	150	0.0002527473288415863	0.00270058789721147	0.0007236190647656374	0.0011217826649955337	4441.869724332297	0.002471849877151121	10	COMPLETE
11	0.006027850678263037	2020-07-17 00:03:51.930836	2020-07-17 00:29:18.253114	0.7375947980964422	17.12742531413788	128	1	2	0.049786493046380116	256	0.7300449008721778	0.001841939437585259	0.006027850678263037	0.0025724830867027205	0.003247630061005588	3419.4179731049144	0.004301225720976018	0.001841939437585259	0.006027850678263037	0.0025724830867027205	0.003247630061005588	3419.4069543600644	0.004301237218948634	1015165812	150	0.001841939437585259	0.006027850678263037	0.0025724830867027205	0.003247630061005588	3419.4289918497643	0.0043012143214032576	11	COMPLETE
12	0.003535000311606296	2020-07-17 00:29:18.254549	2020-07-17 01:09:22.526361	0.7605727656721513	9.02709357968166	64	1	2	0.09455411478380714	128	0.8839859444582456	0.0016930608740210369	0.003535000311606296	0.002337047218740695	0.002610568300637754	4153.0635036319445	0.003196586702226576	0.0016930608740210369	0.003535000311606296	0.002337047218740695	0.002610568300637754	4153.058232292106	0.003196588299968408	2067781906	150	0.0016930608740210369	0.003535000311606296	0.002337047218740695	0.002610568300637754	4153.068774971783	0.0031965851080649594	12	COMPLETE
13	0.00441442252428798	2020-07-17 01:09:22.527738	2020-07-17 01:49:48.239682	0.5939495756352123	28.243742794240724	128	1	3	0.015391079120611672	128	0.9197161353254589	0.0007651665708765832	0.00441442252428798	0.0016030412774473211	0.0024478405683698834	4331.960123049864	0.0031878600146203373	0.0007651665708765832	0.00441442252428798	0.0016030412774473211	0.0024478405683698834	4331.95536759156	0.003187876699538265	3693875187	150	0.0007651665708765832	0.00441442252428798	0.0016030412774473211	0.0024478405683698834	4331.964878508167	0.003187844271781128	13	COMPLETE
14	0.0040231835084099075	2020-07-17 01:49:48.240999	2020-07-17 02:19:27.221201	0.3808287367532115	2.98165596359741	64	2	9	0.006815728672628668	256	0.9865053720392923	0.00036700297064668695	0.0040231835084099075	0.001104471204115973	0.0019769688324458323	4656.630642670673	0.002909791269669803	0.00036700297064668695	0.0040266458005858196	0.001104471204115973	0.0019804311246217447	4656.618157645087	0.0029100371184781104	2171807905	150	0.00036700297064668695	0.0040231835084099075	0.001104471204115973	0.0019769688324458323	4656.64312769626	0.0029095691476913694	14	COMPLETE
15	0.005155353049933178	2020-07-17 02:19:27.222467	2020-07-17 02:59:06.008999	0.2430365131104142	21.68688110331457	64	1	1	0.008361505969905453	128	0.9306430449723777	0.00132605790337435	0.005155353049933178	0.0023993684779071134	0.0031887710940150817	4387.679093987384	0.0038985675426431885	0.00132605790337435	0.005155353049933178	0.0023993684779071134	0.0031887710940150817	4387.677186264395	0.0038985709854761066	2808399656	150	0.00132605790337435	0.005155353049933178	0.0023993684779071134	0.0031887710940150817	4387.681001710373	0.003898564142845017	15	COMPLETE
16	0.004719104235768248	2020-07-17 02:59:06.010427	2020-07-17 03:18:51.459905	0.5552971048585942	2.088710123530482	128	1	2	0.08138423820975324	512	0.8094621407228839	0.0016757494131414761	0.004719104235768248	0.0025967191319341055	0.0031679973409596087	3794.941895812704	0.003832801924975746	0.0016757494131414761	0.004719104235768248	0.0025967191319341055	0.0031679973409596087	3794.920921246702	0.0038328327396661924	1348775632	150	0.0016757494131414761	0.004719104235768248	0.0025967191319341055	0.0031679973409596087	3794.9628703787057	0.003832771473886671	16	COMPLETE
17	0.004954540103730274	2020-07-17 03:18:51.461421	2020-07-17 04:05:09.481285	0.22406209435402452	12.403164601095677	64	1	7	0.06244998282513139	128	0.8329513879727715	0.0014853233434663083	0.004954540103730274	0.002582869963230457	0.0033480365341070403	3913.001755382133	0.003712637761772405	0.0014853233434663083	0.004954540103730274	0.002582869963230457	0.0033480365341070403	3912.995668672488	0.003712638934799166	1724380014	150	0.0014853233434663083	0.004954540103730274	0.002582869963230457	0.0033480365341070403	3913.0078420917785	0.0037126365908588975	17	COMPLETE
18	0.0040197212162339955	2020-07-17 04:05:09.482702	2020-07-17 04:34:22.151446	0.1206055619440394	12.85906994888212	128	2	8	0.0538057738892309	256	0.5853149776550532	0.0003393046332393898	0.0040197212162339955	0.001152943294578743	0.0019700442480940082	2727.3932765748236	0.0033765490775683926	0.0003393046332393898	0.004050881845817205	0.0011598678789305672	0.0019769688324458323	2727.3637934257995	0.0033801508866930048	1700508786	150	0.0003393046332393898	0.0040197212162339955	0.001152943294578743	0.0019700442480940082	2727.422759723848	0.0033734380900332646	18	COMPLETE
19	0.0014333889608276263	2020-07-17 04:34:22.152846	2020-07-17 05:22:04.145395	0.26713193732534174	21.9530388983639	128	2	9	0.06164333154959163	128	0.9926953351528008	4.847209046276997e-05	0.0014333889608276263	0.00022504899143428915	0.0006855338508306039	4685.811981954534	0.0017420756329010127	4.847209046276997e-05	0.0014333889608276263	0.00022504899143428915	0.0006855338508306039	4685.709053201582	0.0017422816741904021	686847342	150	4.847209046276997e-05	0.0014333889608276263	0.00022504899143428915	0.0006855338508306039	4685.9149107074845	0.0017418737059579715	19	COMPLETE
